import time: self [us] | cumulative | imported package
import time:       775 |       1542 |                   importlib.metadata._text
import time:      1273 |       2815 |                 importlib.metadata._adapters
import time:      1103 |       1103 |                 importlib.metadata._meta
import time:       885 |        885 |                 importlib.metadata._collections
import time:       776 |        776 |                 importlib.metadata._itertools
import time:      1024 |       1024 |                         importlib.resources.abc
import time:      1045 |       1045 |                         importlib.resources._adapters
import time:      1997 |       4065 |                       importlib.resources._common
import time:       977 |        977 |                       importlib.resources._legacy
import time:       851 |       5892 |                     importlib.resources
import time:        24 |       5915 |                   importlib.resources.abc
import time:      1120 |       7035 |                 importlib.abc
import time:      2479 |      19930 |               importlib.metadata
import time:      1235 |      21165 |             pydantic.plugin._loader
import time:     12412 |     210678 |           fastapi.exceptions
import time:      1115 |       1115 |             fastapi.openapi
import time:      1129 |       1129 |                 fastapi.types
import time:      1856 |       1856 |                   shlex
import time:      1398 |       1398 |                           anyio._core
import time:      1710 |       3108 |                         anyio._core._contextmanagers
import time:      1173 |       1173 |                           anyio._core._exceptions
import time:       331 |        331 |                           sniffio
import time:      1327 |       2831 |                         anyio._core._eventloop
import time:      2146 |       2146 |                               anyio.abc._eventloop
import time:      1497 |       1497 |                               anyio.abc._resources
import time:      1338 |       1338 |                                 anyio._core._typedattr
import time:      1406 |       1406 |                                   anyio.abc._tasks
import time:      3678 |       5084 |                                 anyio.abc._streams
import time:      1682 |       8103 |                               anyio.abc._sockets
import time:       983 |        983 |                               anyio.abc._subprocesses
import time:      1043 |       1043 |                               anyio.abc._testing
import time:      2154 |       2154 |                                 anyio.lowlevel
import time:      1193 |       1193 |                                 anyio._core._tasks
import time:       953 |        953 |                                 anyio._core._testing
import time:      4772 |       9071 |                               anyio._core._synchronization
import time:      2267 |       2267 |                               anyio.from_thread
import time:      1384 |      26492 |                             anyio.abc
import time:      1133 |      27624 |                           anyio.to_thread
import time:      1845 |      29468 |                         anyio._core._fileio
import time:      1012 |       1012 |                         anyio._core._resources
import time:      1278 |       1278 |                         anyio._core._signals
import time:      1693 |       1693 |                             anyio.streams
import time:      2443 |       4135 |                           anyio.streams.stapled
import time:      1971 |       1971 |                           anyio.streams.tls
import time:      2461 |       8567 |                         anyio._core._sockets
import time:      3378 |       3378 |                           anyio.streams.memory
import time:      1112 |       4490 |                         anyio._core._streams
import time:      1397 |       1397 |                         anyio._core._subprocesses
import time:      1846 |       1846 |                         anyio._core._tempfile
import time:      1871 |      55864 |                       anyio
import time:        63 |      55926 |                     anyio.to_thread
import time:      1573 |      57499 |                   starlette.concurrency
import time:      1570 |       1570 |                   starlette.types
import time:      2328 |      63252 |                 starlette.datastructures
import time:      1595 |      65974 |               fastapi._compat.shared
import time:      1808 |       1808 |                 fastapi.openapi.constants
import time:      3947 |       5754 |               fastapi._compat.v2
import time:      1203 |      72931 |             fastapi._compat
import time:      1111 |       1111 |             fastapi.logger
import time:       489 |        489 |             email_validator
import time:    132693 |     208337 |           fastapi.openapi.models
import time:      4117 |     425918 |         fastapi.params
import time:      1437 |       1437 |         fastapi.datastructures
import time:       841 |        841 |           fastapi.dependencies
import time:       642 |        642 |                 fastapi.security.base
import time:      2118 |       2118 |                   http.cookies
import time:      1296 |       1296 |                   starlette._utils
import time:      1000 |       1000 |                           python_multipart.exceptions
import time:      1022 |       2022 |                         python_multipart.decoders
import time:      3334 |       5356 |                       python_multipart.multipart
import time:      1187 |       6543 |                     python_multipart
import time:      2890 |       9432 |                   starlette.formparsers
import time:      1756 |      14601 |                 starlette.requests
import time:      1169 |      16411 |               fastapi.security.api_key
import time:       951 |        951 |                 fastapi.security.utils
import time:      3947 |       4897 |               fastapi.security.http
import time:      2504 |       2504 |                 fastapi.param_functions
import time:      1948 |       4451 |               fastapi.security.oauth2
import time:      1264 |       1264 |               fastapi.security.open_id_connect_url
import time:      1033 |      28056 |             fastapi.security
